id,type,title,url,accessed,commit_or_version,local_snapshot,sha256,used_for
S01,repository,ESICUP Cutting & Packing Datasets,https://github.com/ESICUP/datasets/tree/154a8f006a8e72f65d734f2d1e36777f678f31f8,2026-08-31,154a8f006a8e72f65d734f2d1e36777f678f31f8,no,,dataset catalog and license note
S02,dataset,ESICUP 3D rectangular README,https://github.com/ESICUP/datasets/blob/154a8f006a8e72f65d734f2d1e36777f678f31f8/3d_rectangular/README.md,2026-08-31,154a8f006a8e72f65d734f2d1e36777f678f31f8,no,,THPACK/BAYTP/Alonso provenance
S03,dataset,ESICUP THPACK README,https://github.com/ESICUP/datasets/blob/154a8f006a8e72f65d734f2d1e36777f678f31f8/3d_rectangular/thpack/README.txt,2026-08-31,154a8f006a8e72f65d734f2d1e36777f678f31f8,no,,THPACK1-9 semantics and formats
S04,dataset,ESICUP Alonso 2019 README,https://github.com/ESICUP/datasets/blob/154a8f006a8e72f65d734f2d1e36777f678f31f8/3d_rectangular/alonso_2019/readme.txt,2026-08-31,154a8f006a8e72f65d734f2d1e36777f678f31f8,no,,delivery day pallet truck and axle fields
S05,dataset,ESICUP Alonso 2020 README,https://github.com/ESICUP/datasets/blob/154a8f006a8e72f65d734f2d1e36777f678f31f8/3d_rectangular/alonso_2020/readme.txt,2026-08-31,154a8f006a8e72f65d734f2d1e36777f678f31f8,no,,pallet class and day fields
S06,repository,PackingSolver repository,https://github.com/fontanf/packingsolver,2026-08-31,367ebfdaad11424ded3696b7dae799a30c1375d0,no,,official project status
S07,source,PackingSolver README snapshot,https://raw.githubusercontent.com/fontanf/packingsolver/367ebfdaad11424ded3696b7dae799a30c1375d0/README.md,2026-08-31,367ebfd,sources/snapshots/packingsolver_README_367ebfd.md,4ae2d10408819ad5600a6bec963bc3d1fc6f0e93212b9c2d6e248aa129abc62e,official capability claims
S08,source,PackingSolver box Solution snapshot,https://raw.githubusercontent.com/fontanf/packingsolver/367ebfdaad11424ded3696b7dae799a30c1375d0/src/box/solution.cpp,2026-08-31,367ebfd,sources/snapshots/packingsolver_box_solution_367ebfd.cpp,db02145273f9a61ad908c1b507464779526ac1f29842630ea1acdd09ad7642e4,missing objective branch
S09,source,PackingSolver boxstacks Solution snapshot,https://raw.githubusercontent.com/fontanf/packingsolver/367ebfdaad11424ded3696b7dae799a30c1375d0/src/boxstacks/solution.cpp,2026-08-31,367ebfd,sources/snapshots/packingsolver_boxstacks_solution_367ebfd.cpp,36f1756bba02ee8fe22d6704ff5d438346dfbed4661e585c1ca3f0280abad48e,missing objective branch
S10,source,PackingSolver rectangle Solution snapshot,https://raw.githubusercontent.com/fontanf/packingsolver/367ebfdaad11424ded3696b7dae799a30c1375d0/src/rectangle/solution.cpp,2026-08-31,367ebfd,sources/snapshots/packingsolver_rectangle_solution_367ebfd.cpp,74a4b67858ca3bbf9934b956aca451a1e1b8ab43a0c870c3b738ec95d0188246,comparison implementation
